"Timestamp","Then I would"
"2020/12/01 8:35:08 AM CST","go get ice cream"
"2020/12/04 12:24:21 AM CST","Turn into a monkey "
"2020/12/04 12:24:36 AM CST","Pee my pants "
"2020/12/04 12:24:49 AM CST","Go crazy"
"2020/12/04 12:24:58 AM CST","Have a party"
"2020/12/04 12:25:07 AM CST","Eat cake"
"2020/12/04 12:25:21 AM CST","Take off my mask"
"2020/12/04 12:25:38 AM CST","Find Santa Claus "
"2020/12/04 12:25:46 AM CST","Read a book"
"2020/12/04 12:26:07 AM CST","Fart "
"2020/12/04 12:26:26 AM CST","Run around in my underwear "
"2020/12/04 12:26:42 AM CST","Go swimming "
"2020/12/04 12:26:59 AM CST","Sing karaoke "
"2020/12/04 12:27:30 AM CST","Go viral"
"2020/12/19 6:09:50 PM CST","jump in a lake"
"2020/12/19 6:09:59 PM CST","cry myself to sleep"
"2020/12/19 6:10:09 PM CST","eat all the chocolate I could find"
"2020/12/19 6:10:16 PM CST","move to Mexico"
"2020/12/19 6:10:23 PM CST","put on a sweater"
"2020/12/19 6:10:29 PM CST","buy a house"
"2020/12/19 6:10:39 PM CST","draw pictures of animals"
"2020/12/19 6:10:45 PM CST","fly to the moon"
"2020/12/19 6:10:53 PM CST","watch more TV"
"2020/12/19 6:11:08 PM CST","retire in style and comfort"
"2020/12/19 6:11:22 PM CST","finally get around to returning my library books"
"2020/12/22 2:44:32 PM CST","Alert the media"
"2020/12/22 2:44:57 PM CST","Go for a boat ride"
"2020/12/24 11:48:18 AM CST","cry"
"2020/12/24 11:48:24 AM CST","eat boogers"
"2020/12/24 11:48:33 AM CST","run around with my head off"
"2020/12/24 11:48:40 AM CST","tackle santa"
"2020/12/24 11:48:50 AM CST","play football with the president"
"2020/12/24 11:48:58 AM CST","crash the car into your house"
"2020/12/24 11:49:18 AM CST","play minecraft"
"2020/12/24 11:49:25 AM CST","build a tree house"
"2020/12/24 11:49:31 AM CST","dig to china"
"2020/12/24 11:49:41 AM CST","fart. loudly."
"2020/12/24 11:49:52 AM CST","point at you and laugh"
"2020/12/24 11:50:06 AM CST","fling my cat around by the tail"
"2020/12/24 11:50:13 AM CST","pet a doggie"
"2020/12/24 11:50:23 AM CST","eat cookies until I barfed"
"2020/12/24 11:50:29 AM CST","lick a turtle."
"2020/12/24 11:50:38 AM CST","pet a donkey"
"2020/12/24 11:50:46 AM CST","make chicken noises"
"2020/12/24 11:50:59 AM CST","pee in your backyard"
"2020/12/24 12:37:44 PM CST","Go home and play video games all day!"
"2020/12/24 12:43:51 PM CST"," Go outside and use a loud air horn until I was told to stop!"
"2020/12/24 11:00:41 PM CST","Eat spaghetti "
"2020/12/24 11:00:50 PM CST","Pet a dog"
"2020/12/24 11:01:03 PM CST","Jump in the lake"
"2020/12/24 11:01:18 PM CST","Shave my head"
"2020/12/24 11:01:40 PM CST","Run around the block only wearing shoes"
"2020/12/24 11:02:13 PM CST","Fly to Australia "
"2020/12/24 11:02:23 PM CST","Drink wine"
"2020/12/24 11:02:37 PM CST","Play the drums"
"2020/12/24 11:02:46 PM CST","Pick my nose"
"2020/12/24 11:03:02 PM CST","Eat a cat butt cookie"
"2020/12/24 11:03:21 PM CST","Become a mailman"
"2020/12/24 11:03:34 PM CST","Pee my pants "
"2020/12/24 11:04:15 PM CST","Order clothes on Amazon "
"2020/12/24 11:04:37 PM CST","Wear one shoe"
"2020/12/24 11:05:01 PM CST","Party like a rock star"
"2020/12/24 11:05:42 PM CST","Dress up like a princess "
"2020/12/24 11:06:01 PM CST","Become a hot mess"
"2020/12/24 11:21:34 PM CST","Become a rock star "
"2020/12/24 11:21:41 PM CST","Pick my nose"
"2020/12/24 11:21:52 PM CST","Brush my teeth"
"2020/12/24 11:22:01 PM CST","Hire a zookeeper "
"2020/12/24 11:22:21 PM CST","Climb a tree"
"2020/12/24 11:22:35 PM CST","Swim with the dolphins "
"2020/12/24 11:22:50 PM CST","Take a taxi to Idaho "
"2020/12/24 11:23:12 PM CST","Go ice skating "
"2020/12/24 11:24:25 PM CST","Then I would ride my magic carpet to the cottage "
"2020/12/24 11:25:17 PM CST","Bite my toenails "
"2020/12/24 11:25:30 PM CST","Hug Godzilla "
"2020/12/24 11:25:45 PM CST","Eat toilet paper "
"2020/12/24 11:26:00 PM CST","Wear little gramas clothes"
"2020/12/24 11:26:16 PM CST","Snuggle with Abby"
"2020/12/24 11:26:30 PM CST","Hold hands with Kevin "
"2020/12/24 11:26:41 PM CST","Spit nickels"
"2020/12/24 11:27:11 PM CST","Poop in my pants"
"2020/12/24 11:27:20 PM CST","Eat butter"
"2020/12/24 11:28:22 PM CST","Roller skate with Mr Wilson "
"2020/12/24 11:28:45 PM CST","Swim with Amanda"
"2020/12/24 11:29:11 PM CST","Ride a Ferris wheel "
"2020/12/24 11:29:26 PM CST","Stage dive "
"2020/12/24 11:29:33 PM CST","Cry all day"
"2020/12/24 11:29:44 PM CST","Hide in a corner"
"2020/12/24 11:29:54 PM CST","Jump out of the bushes "
"2020/12/24 11:30:04 PM CST","Sing very loud"
"2020/12/24 11:30:16 PM CST","Chant like a witch"
"2020/12/24 11:30:55 PM CST","Dress like chewbaka ****"
"2020/12/24 11:31:18 PM CST","Become a stormtrooper "
"2020/12/24 11:31:43 PM CST","Eat junk food"
"2020/12/24 11:37:53 PM CST","Go to the dentist "
"2020/12/24 11:38:01 PM CST","Go to the hospital "
"2020/12/24 11:38:27 PM CST","Glue a mask to my face"
"2020/12/24 11:46:38 PM CST","Take a picture "
"2020/12/24 11:46:49 PM CST","Play cards "
"2020/12/24 11:47:07 PM CST","Take a long walk on a short pier "
"2020/12/24 11:47:42 PM CST","Eat a bag of marshmallows "
"2020/12/24 11:47:57 PM CST","Get a tattoo "
"2020/12/24 11:48:12 PM CST","Pierce my nose "
"2020/12/24 11:48:40 PM CST","Sing the ABCs"
"2020/12/24 11:49:16 PM CST","Walk to New York in a onesie "
"2020/12/24 11:49:33 PM CST","Scream as loud as I could"
"2020/12/24 11:49:43 PM CST","Sit on the toilet "
"2020/12/24 11:49:50 PM CST","Hug Bubu "
"2020/12/24 11:50:13 PM CST","Hold little grama like a baby"
"2020/12/24 11:50:37 PM CST","Brush my hair"
"2020/12/24 11:51:00 PM CST","Lick a balloon "
"2020/12/24 11:51:29 PM CST","Take my pants off"
"2020/12/24 11:51:44 PM CST","Give CPR"
"2020/12/24 11:52:16 PM CST","Eat a bunch of bananas "
"2020/12/25 8:33:04 AM CST","put on my Members Only jacket and moonwalk outta there"
"2020/12/25 8:33:14 AM CST","go to the bar and get drunk"